piece.title;piece.city;piece.year;piece.composer.one;piece.composer.two;
Desprezado;;;Pixinguinha;;
Destino da rosa;;;Pixinguinha;;
Destroçando a macaxeira;;;Hamilton de Holanda;;
Desvairada;;;Garoto;;
Devagar e sempre;;;Pixinguinha;Benedito Lacerda;
Diabinho maluco;;;Jacob do Bandolim;;
Diabólica;;;Pixinguinha;;
Dialogando;;;Ricardo Calafate;;
Dininha;;;Pixinguinha;Benedito Lacerda;
Dinorah;;;Benedito Lacerda;;
Displicente;;;Pixinguinha;;
Disseram que eu voltei americanizada;;;Vicente Paiva;Luiz Peixoto;
Dissimulada;;;Laurindo de Almeida;Bororó;
Divagando;;;Domingos Semenzato;;
Do jeito que a gente quer;;;Ed Lincoln;;
Do sorriso das mulheres nasceram as flores;;;Eduardo Souto;;
Doce de côco;;;Jacob do Bandolim;;
Doce melodia;;;Abel Ferreira;;
Dominó;;;Pixinguinha;;
Dr. Sabe tudo;;;Dilermando Reis;;
Dr. Sabe Tudo;;;Dilermando Reis;;
É do que há;;;Luiz Americano;;
É isso mesmo;;;Pixinguinha;;
É logo ali;;;Dante Santoro;;
É segredo;;;Viriato Figueira;;
Ecos;;;Joel Nascimento;;
Ele e eu;;;Pixinguinha;Benedito Lacerda;
Elegante;;;Lina Pesce;;
Enigma;;;Garoto;;
Enigmático;;;Altamiro Carrilho;;
Então;;; chora bandolim!;Luiz Otavio Braga;
Escorregando;;;Ernesto Nazareth;;
Escovado;;;Ernesto Nazareth;;
Espinha de bacalhau;;;Severino Araújo;;
Espírito infantil;;;Mú Carvalho;;
Esquecimento;;;Dante Santoro;;
Estamos aí;;;Maurício Einhorn;Durval Ferreira;Regina Werneck
Este choro é o meu pranto;;;Claudionor Cruz;Pedro Caetano;
Eu quero é sossego;;;K-Ximbinho;Hianto de Almeida;
Eu sou do barulho;;;Carolina Cardoso de Menezes;;
Eu te quero bem;;;Luiz Americano;;
Evocação a Jacob;;;Avena de Castro;;
Evocação a Nazareth;;;Canhotinho;;
Expansiva;;;Ernesto Nazareth;;
Expressinho;;;Carolina Cardoso de Menezes;;
Faceira;;;Ernesto Nazareth;;
Fala baixinho;;;Pixinguinha;Hermínio Bello de Carvalho;
Falando de amor;;;Tom Jobim;;
Favorito;;;Ernesto Nazareth;;
Feia;;;Jacob do Bandolim;;
Feitiço;;;Ernesto Nazareth;;
Feitiço;;;Jacob do Bandolim;;
Flamengo;;;Bonfiglio de Oliveira;;
Flausina;;;Pedro Galdino;;
Flauta;;; cavaquinho e violão;Custódio Mesquita;Orestes Barbosa
Flor amorosa;;;Joaquim Antonio de Silva Callado;Catulo da Paixão Cearense;
Flôr amorosa;;;Joaquim Callado;;
Flor do abacate;;;Álvaro Sandi;;
Fogo na roupa;;;Altamiro Carrilho;;
Fonte abandonada;;;Pixinguinha;;
Forró de gala;;;Jacob do Bandolim;;
Gadú namorando;;;Alcyr Pires Vermelho;;
Gargalhada;;;Pixinguinha;;
Garoto;;;Ernesto Nazareth;;
Garoto;;;Tom Jobim;;
Gaúcho;;;Chiquinha Gonzaga;;
Generoso;;;Pixinguinha;;
Gingando no choro;;;Jorge Cardoso;;
Glória;;;Pixinguinha;;
Gostosinho;;;Jacob do Bandolim;;
Granfino;;;Nabor Pires Camargo;;
Graúna;;;João Pernambuco;;
Harmonia selvagem;;;Dante Santoro;;
Harmonioso;;;Tico-Tico;;
Haroldo no choro;;;Abel Ferreira;;
Homenagem à flor margarida;;;Pixinguinha;Fábio de Oliveira;
Homenagem à velha guarda;;;Sivuca;;
Homenagem à velha guarda;;;Sivuca;Paulo César Pinheiro;
Hora de sonhar;;;Waldyr Azevedo;;
Iara (Rasga o coração);;;Anacleto de Medeiros;Catulo da Paixão Cearense;
Igreja da Penha;;;Guinga;;
Imaginária;;;Mário Sève;Suely Mesquita;
Implicante;;;Jacob do Bandolim;;
Impressões do choro;;;Leandro Braga;;
Indeciso;;;Altamiro Carrilho;;
Indiferente;;;Nabor Pires Camargo;;
Inesquecível;;;Paulinho da Viola;;
Infelizmente;;;José da Rocha Piedade;Moacyr Vieira;
Infernal;;;Garoto;;
Ingênuo;;;Pixinguinha;Benedito Lacerda;Paulo César Pinheiro
Intrigas no boteco do Padilha;;;Luiz Americano;;
Iolanda;;;João de Lima;;
Joaquim virou padre;;;Pixinguinha;;
Jóquei de elefante;;;Dante Santoro;;
Jurando falso;;;Pixinguinha;;
Jurity;;;Raul Silva;;
Lamentos;;;Pixinguinha;Vinícius de Moraes;
Levanta poeira;;;Zequinha Abreu;;
Língua de preto;;;Honorino Lopes;;
Luá;;; Joá;Sebastião Tapajós;
Luís Americano na P.R.E. 3;;;Luiz Americano;;
Machuca...;;;Chiquinha Gonzaga;Patrocínio Filho;
Magoado;;;Dilermando Reis;;
Mágoas de cavaquinho;;;Waldyr Azevedo;;
Malabarista;;;Donga;Jararaca;
Malandrinho;;;Gadé;Oswaldo Nogueira;
Marceneiro;;;Paulo Hélio Delmiro;;
Mariana;;;Irineu de Almeida;;
Marilene;;;Pixinguinha;Benedito Lacerda;
Matuto;;;Ernesto Nazareth;;
Meigo;;;Domingos Pecci;;
Melancolia;;;Luiz Eça;;
Meloso;;;José Maria de Abreu;;
Meu avô;;;Rafael Rabello;;
Meu beguin;;;Domingos Pecci;;
Meu caro amigo;;;Chico Buarque;Francis Hime;
Meu caro amigo;;;Francis Hime;Chico Buarque;
Meu cavaquinho;;;Pachequinho;Ruy Borba;
Meu chorinho;;;Jonas Silva;;
Meu prelúdio;;;Waldyr Azevedo;;
Meu sabiá;;;Raul Silva;;
Meu sentimento;;;Dino;Orlando Silveira;
Meu sonho;;;Cristóvão Bastos;Jorginho do Pandeiro;
Meu tempo de garoto;;;Cristóvão Bastos;Paulinho da Viola;
Mimosa;;;Jacob do Bandolim;;
Minha flauta de prata;;;Meira;;
Minha gente;;;Pixinguinha;;
Minha vez;;;Pixinguinha;;
Minhas mãos;;; meu cavaquinho;Waldyr Azevedo;
Mistura e manda;;;Nelson Alves;;
Mitsuru do cavaco;;;Henrique Cazes;;
Modinha brasileira;;;Pixinguinha;;
Modulando;;;Rubens Leal Brito;;
Moleque Moura;;;Domingos Pecci;;
Moleque Ronaldinho;;;Reco;Augusto Cezar;
Mulato anti-metropolitano;;;Laurindo de Almeida;;
Murmurando;;;Fon-fon;;
Músicos e poetas;;;Sivuca;;
Na glória;;;Ary dos Santos;Raul de Barros;
Na glória;;;Ary Santos;Raul de Barros;
Não gostei de seus modos;;;Moleque Diabo;;
